heuristic_id,raw_app_type,instance_scale,filename,strategy,algorithm,code,objective,task_name,parse_ok,is_timeout
pop_0_op_e1_n19_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n19_251004_190649.json,e1,"Design a heuristic that calculates the sum of the number of misplaced tiles and the minimum number of swaps needed to resolve row-wise and column-wise inversions, ensuring a unique scoring mechanism different from Manhattan distance and linear conflicts.
","def score_state(state):
    N = len(state)
    misplaced_tiles = 0
    row_inversions = [0] * N
    col_inversions = [0] * N

    for i in range(N):
        row_seen = set()
        col_seen = set()
        for j in range(N):
            target_i, target_j = divmod(state[i][j] - 1, N)
            if state[i][j] != (i * N + j + 1) % (N * N):
                misplaced_tiles += 1
            if state[i][j] != 0 and any(state[i][j] < x for x in row_seen):
                row_inversions[i] += 1
            if state[j][i] != 0 and any(state[j][i] < y for y in col_seen):
                col_inversions[j] += 1
            row_seen.add(state[i][j])
            col_seen.add(state[j][i])

    return misplaced_tiles
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n1_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n1_251004_190649.json,e1,"Calculate the sum of the minimum Manhattan distances from each misplaced tile to any of its possible goal positions, ignoring linear conflicts.
","def score_state(state):
    N = len(state)
    score = 0
    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value == 0:
                continue
            target_positions = [(k // N, k % N) for k in range(value - 1, N * N, N)]
            min_distance = float('inf')
            for ti, tj in target_positions:
                distance = abs(i - ti) + abs(j - tj)
                if distance < min_distance:
                    min_distance = distance
            score += min_distance
    return score
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n2_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n2_251004_190649.json,e1,"Calculate the sum of the Manhattan distances for each tile from its current position to its target position, then add the number of misplaced tiles divided by two to penalize configurations with more misplaced tiles.
","def score_state(state):
    N = len(state)
    manhattan_distance_sum = 0
    misplaced_tiles = 0

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                manhattan_distance_sum += abs(i - target_i) + abs(j - target_j)
                if (i, j) != (target_i, target_j):
                    misplaced_tiles += 1

    return manhattan_distance_sum
",2.20381,SlidingPuzzle,True,False
pop_0_op_e1_n3_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n3_251004_190649.json,e1,"Design a heuristic that calculates the sum of Manhattan distances for each tile, adjusted by a penalty for tiles that are out of their row or column in terms of sequential order.
","def score_state(state):
    N = len(state)
    manhattan_distance_sum = 0

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i = (value - 1) // N
                target_j = (value - 1) % N
                manhattan_distance_sum += abs(i - target_i) + abs(j - target_j)
                row_adjustment = 1 if i != target_i else 0
                col_adjustment = 1 if j != target_j else 0
                manhattan_distance_sum += (row_adjustment + col_adjustment) * (value % N == 0 or value % N == j + 1)

    return manhattan_distance_sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n4_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n4_251004_190649.json,e1,"Design a heuristic that calculates the number of misplaced tiles, summing up how many tiles are not in their goal position, and then adds a penalty based on the Manhattan distance of these misplaced tiles to their target positions divided by 2.
","def score_state(state):
    N = len(state)
    misplaced_tiles = 0
    total_distance = 0

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value == 0:
                continue
            target_i, target_j = divmod(value - 1, N)
            if (i != target_i) or (j != target_j):
                misplaced_tiles += 1
                total_distance += abs(i - target_i) + abs(j - target_j)

    return misplaced_tiles
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n5_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n5_251004_190649.json,e1,"Use a heuristic that calculates the sum of squared distances of each tile from its goal position, divided by 2, to prioritize states with tiles closer to their final positions more aggressively.
","def score_state(state):
    N = len(state)
    score = 0
    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i = (value - 1) // N
                target_j = (value - 1) % N
                distance_squared = (i - target_i) ** 2 + (j - target_j) ** 2
                score += distance_squared / 2
    return score
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n6_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n6_251004_190649.json,e1,"Use a linear conflict heuristic to count the number of tile pairs that are in the same row or column but need to be swapped with each other, then normalize this count by dividing by the total possible conflicts.}
","def score_state(state):
    N = len(state)
    target_positions = {(i + 1): (i // N, i % N) for i in range(1, N * N)}
    row_conflicts = [set() for _ in range(N)]
    col_conflicts = [set() for _ in range(N)]
    
    for i in range(N):
        for j in range(N):
            tile = state[i][j]
            if tile != 0:
                target_i, target_j = target_positions[tile]
                if target_i == i and any(state[i][k] != 0 and (state[i][k] - 1) // N == i and (state[i][k] - 1) % N > j for k in range(j + 1, N)):
                    row_conflicts[i].add((j, target_j))
                if target_j == j and any(state[k][j] != 0 and (state[k][j] - 1) % N == j and (state[k][j] - 1) // N > i for k in range(i + 1, N)):
                    col_conflicts[j].add((i, target_i))
    
    linear_conflicts = sum(len(conflict_set) - 1 for conflict_set in row_conflicts if len(conflict_set) > 1)
    linear_conflicts += sum(len(conflict_set) - 1 for conflict_set in col_conflicts if len(conflict_set) > 1)
    
    return linear_conflicts
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n7_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n7_251004_190649.json,e1,"Calculate the sum of the minimum number of moves required for each tile to reach its row and column target positions, ignoring the empty space, and add twice the number of misplaced tiles compared to their goal row or column position.
","def score_state(state):
    N = len(state)
    row_counts = [0] * N
    col_counts = [0] * N

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                row_counts[target_i] += 1
                col_counts[target_j] += 1

    misplaced_tiles = 0
    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                if row_counts[target_i] > 1 or col_counts[target_j] > 1:
                    misplaced_tiles += 1

    return sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n8_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n8_251004_190649.json,e1,"Calculate the sum of linear conflicts for each tile from its current position to its target position in the goal state, where a linear conflict occurs if two tiles are in the same row or column but must be swapped to reach their goal positions.}
","def score_state(state):
    N = len(state)
    target_positions = {(i + 1): (i // N, i % N) for i in range(1, N * N)}
    linear_conflicts = 0

    # Check rows for conflicts
    for i in range(N):
        row_tiles = [state[i][j] for j in range(N) if state[i][j] != 0]
        sorted_row_tiles = sorted(row_tiles, key=lambda x: target_positions[x])
        for j in range(len(sorted_row_tiles)):
            for k in range(j + 1, len(sorted_row_tiles)):
                if target_positions[sorted_row_tiles[j]][0] == target_positions[sorted_row_tiles[k]][0]:
                    linear_conflicts += 1

    # Check columns for conflicts
    for j in range(N):
        col_tiles = [state[i][j] for i in range(N) if state[i][j] != 0]
        sorted_col_tiles = sorted(col_tiles, key=lambda x: target_positions[x])
        for i in range(len(sorted_col_tiles)):
            for k in range(i + 1, len(sorted_col_tiles)):
                if target_positions[sorted_col_tiles[i]][1] == target_positions[sorted_col_tiles[k]][1]:
                    linear_conflicts += 1

    return linear_conflicts
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n9_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n9_251004_190649.json,e1,"Calculate the sum of Manhattan distances for each tile from its current position to its target position, and add the number of misplaced tiles that are not in their goal row or column.}
","def score_state(state):
    N = len(state)
    target_positions = {(i + 1): (i // N, i % N) for i in range(1, N * N)}
    manhattan_distance_sum = 0
    misplaced_tiles = 0

    for i in range(N):
        for j in range(N):
            tile = state[i][j]
            if tile != 0:
                target_i, target_j = target_positions[tile]
                manhattan_distance_sum += abs(i - target_i) + abs(j - target_j)
                if (i != target_i and j != target_j):
                    misplaced_tiles += 1

    return manhattan_distance_sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e2_n0_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n0_251004_192837.json,e2,"Calculate the sum of the absolute differences between the current position and target position of each tile, normalized by dividing by the maximum possible Manhattan distance for the puzzle size.}
","def score_state(state):
    N = len(state)
    max_manhattan_distance = 2 * (N - 1) * N
    target_positions = {(i + 1): (i // N, i % N) for i in range(1, N * N)}
    distance_sum = sum(abs(i - ti) + abs(j - tj) for i in range(N) for j in range(N) if state[i][j] != 0 for ti, tj in [target_positions[state[i][j]]])
    return distance_sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e2_n10_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n10_251004_192837.json,e2,"Calculate the sum of Manhattan distances for each tile from its current position to its target position, then multiply by a factor derived from the number of misplaced tiles relative to their row and column targets.}
","def score_state(state):
    N = len(state)
    target_positions = {(i + 1): (i // N, i % N) for i in range(1, N * N)}
    manhattan_distance_sum = 0
    misplaced_factor = 0

    for i in range(N):
        row_misplaced = 0
        col_misplaced = [0] * N
        for j in range(N):
            tile = state[i][j]
            if tile != 0:
                target_i, target_j = target_positions[tile]
                manhattan_distance_sum += abs(i - target_i) + abs(j - target_j)
                if i != target_i:
                    row_misplaced += 1
                col_misplaced[target_j] += 1

        misplaced_factor += row_misplaced + sum(col_misplaced)

    return manhattan_distance_sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e2_n11_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n11_251004_192837.json,e2,"Calculate the sum of Manhattan distances for each tile from its current position to its target position, then multiply by the number of misplaced tiles to emphasize their impact.
","def score_state(state):
    N = len(state)
    manhattan_distance_sum = 0
    misplaced_tiles_count = 0

    for i in range(N):
        for j in range(N):
            tile = state[i][j]
            if tile != 0:
                target_i, target_j = divmod(tile - 1, N)
                manhattan_distance_sum += abs(i - target_i) + abs(j - target_j)
                if (i, j) != (target_i, target_j):
                    misplaced_tiles_count += 1

    return manhattan_distance_sum
",2.20381,SlidingPuzzle,True,False
pop_0_op_e2_n12_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n12_251004_192837.json,e2,"Use a weighted Euclidean distance where each tile's contribution is inversely proportional to its position's Manhattan distance from the goal, plus half the number of linear conflicts.
","def score_state(state):
    N = len(state)
    euclidean_distance_sum = 0
    linear_conflicts = 0

    for i in range(N):
        row_seen = set()
        for j in range(N):
            value = state[i][j]
            if value == 0:
                continue
            target_i, target_j = divmod(value - 1, N)
            manhattan_distance = abs(i - target_i) + abs(j - target_j)
            euclidean_distance_sum += (manhattan_distance ** 0.5) / max(manhattan_distance, 1)

            if any(value < x and x != 0 and (x - 1) // N == i for x in row_seen):
                linear_conflicts += 1
            row_seen.add(value)

    for j in range(N):
        col_seen = set()
        for i in range(N):
            value = state[i][j]
            if value == 0 or (value - 1) % N != j:
                continue
            if any(value < x and x != 0 and (x - 1) % N == j for x in col_seen):
                linear_conflicts += 1
            col_seen.add(value)

    return euclidean_distance_sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e2_n13_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n13_251004_192837.json,e2,"Calculate the sum of Manhattan distances for each tile from its current position to its target position in the goal state, and add twice the number of misplaced tiles (tiles not in their final position) to penalize configurations with more misplaced pieces.}
","def score_state(state):
    N = len(state)
    target_positions = {(i + 1): (i // N, i % N) for i in range(1, N * N)}
    manhattan_distance_sum = 0
    misplaced_tiles = 0

    for i in range(N):
        for j in range(N):
            tile = state[i][j]
            if tile != 0:
                target_i, target_j = target_positions[tile]
                manhattan_distance_sum += abs(i - target_i) + abs(j - target_j)
                if (i, j) != (target_i, target_j):
                    misplaced_tiles += 1

    return manhattan_distance_sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e2_n14_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n14_251004_192837.json,e2,"Use a heuristic that calculates the number of misplaced tiles, scaled by the average Manhattan distance of all tiles from their target positions to prioritize states with fewer misplaced tiles closer to their goal positions.
","def score_state(state):
    N = len(state)
    misplaced_count = 0
    manhattan_distance_sum = 0

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i = (value - 1) // N
                target_j = (value - 1) % N
                manhattan_distance_sum += abs(i - target_i) + abs(j - target_j)
                if i != target_i or j != target_j:
                    misplaced_count += 1

    average_manhattan_distance = manhattan_distance_sum / (N * N - 1)
    return misplaced_count
",2.5337,SlidingPuzzle,True,False
pop_0_op_e2_n15_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n15_251004_192837.json,e2,"Calculate the sum of Euclidean distances for each tile from its current position to its target position in the goal state, then normalize this sum by dividing it by the maximum possible Euclidean distance in the puzzle grid.}
","def score_state(state):
    N = len(state)
    max_distance = ((N - 1) ** 2 + (N - 1) ** 2) ** 0.5 * (N * N - 1)
    target_positions = {(i + 1): (i // N, i % N) for i in range(1, N * N)}
    euclidean_distance_sum = sum(
        ((i - target_positions[tile][0]) ** 2 + (j - target_positions[tile][1]) ** 2) ** 0.5
        for i in range(N) for j in range(N)
        if state[i][j] != 0
    )
    return euclidean_distance_sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e2_n16_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n16_251004_192837.json,e2,"Calculate the Manhattan distance for each tile from its current position to its goal position, sum these distances, and add twice the number of misplaced tiles that are not in their correct row or column.
","def score_state(state):
    N = len(state)
    manhattan_distance = 0
    misplaced_tiles = 0

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value == 0:
                continue
            target_i, target_j = divmod(value - 1, N)
            manhattan_distance += abs(i - target_i) + abs(j - target_j)
            if i != target_i or j != target_j:
                misplaced_tiles += 1

    return manhattan_distance
",2.20381,SlidingPuzzle,True,False
pop_0_op_e2_n17_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n17_251004_192837.json,e2,"Calculate the Manhattan distance for each tile from its current position to its goal position, sum these distances, and add a penalty based on the number of misplaced tiles relative to their row or column goals.
","def score_state(state):
    N = len(state)
    manhattan_distance = 0
    misplaced_penalty = 0

    for i in range(N):
        row_seen = set()
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                manhattan_distance += abs(i - target_i) + abs(j - target_j)
                if (value - 1) // N == i and any(x > value for x in row_seen):
                    misplaced_penalty += 1
                row_seen.add(value)

    for j in range(N):
        col_seen = set()
        for i in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                manhattan_distance += abs(i - target_i) + abs(j - target_j)
                if (value - 1) % N == j and any(x > value for x in col_seen):
                    misplaced_penalty += 1
                col_seen.add(value)

    return manhattan_distance
",2.28037,SlidingPuzzle,True,False
pop_0_op_e2_n18_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n18_251004_192837.json,e2,"Design a heuristic that calculates the sum of Manhattan distances, then adds a penalty based on the number of misplaced tiles in their respective rows or columns.
","def score_state(state):
    N = len(state)
    manhattan_distance = 0
    misplaced_tiles_penalty = 0

    for i in range(N):
        row_seen = set()
        col_seen = set()
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                manhattan_distance += abs(i - target_i) + abs(j - target_j)
                if (value - 1) // N == i and any(value < x for x in row_seen):
                    misplaced_tiles_penalty += 1
                if (value - 1) % N == j and any(value < x for x in col_seen):
                    misplaced_tiles_penalty += 1
            row_seen.add(value)
            col_seen.add(state[j][i])

    return manhattan_distance
",2.37694,SlidingPuzzle,True,False
pop_0_op_e2_n19_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n19_251004_192837.json,e2,"Calculate the sum of Euclidean distances for each tile from its current position to its target position in the goal state, and divide by twice the number of tiles minus two to normalize the score between 0 and 1.}
","def score_state(state):
    N = len(state)
    target_positions = {(i + 1): (i // N, i % N) for i in range(1, N * N)}
    euclidean_distance_sum = 0

    for i in range(N):
        for j in range(N):
            tile = state[i][j]
            if tile != 0:
                target_i, target_j = target_positions[tile]
                euclidean_distance_sum += ((i - target_i) ** 2 + (j - target_j) ** 2) ** 0.5

    normalization_factor = 2 * N * N - 2
    return euclidean_distance_sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e2_n1_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n1_251004_192837.json,e2,"This heuristic calculates the sum of the Euclidean distances of each tile from its goal position, ignoring the empty space, to provide a different form of distance metric compared to Manhattan distance.
","def score_state(state):
    N = len(state)
    score = 0
    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i = (value - 1) // N
                target_j = (value - 1) % N
                score += ((i - target_i) ** 2 + (j - target_j) ** 2) ** 0.5
    return score
",2.5337,SlidingPuzzle,True,False
pop_0_op_e2_n2_251004_192837,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e2_n2_251004_192837.json,e2,"New heuristic calculates the sum of Manhattan distances for each tile from its current position to its goal position, divided by the maximum possible Manhattan distance for any tile in the puzzle, then adds 0.5 times the number of linear conflicts for the tiles.
","def score_state(state):
    N = len(state)
    max_manhattan_distance = (N - 1) * 2
    manhattan_distance = 0
    linear_conflicts = 0

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value == 0:
                continue
            target_i, target_j = divmod(value - 1, N)
            manhattan_distance += abs(i - target_i) + abs(j - target_j)

    for i in range(N):
        row_seen = set()
        for j in range(N):
            value = state[i][j]
            if value == 0 or (value - 1) // N != i:
                continue
            if any(value < x and x != 0 and (x - 1) // N == i for x in row_seen):
                linear_conflicts += 1
            row_seen.add(value)

    for j in range(N):
        col_seen = set()
        for i in range(N):
            value = state[i][j]
            if value == 0 or (value - 1) % N != j:
                continue
            if any(value < x and x != 0 and (x - 1) % N == j for x in col_seen):
                linear_conflicts += 1
            col_seen.add(value)

    return manhattan_distance
",2.37694,SlidingPuzzle,True,False
